,word,lemma,onset,offset,section,sentence_index
13729,de,de,100.14,100.26,9,1468
13730,métal,métal,100.26,100.84,9,1468
13731,je,je,101.88,102.12,9,1469
13732,parvins,parvins,102.12,102.42,9,1469
13733,au,à,102.42,102.53,9,1469
13734,mur,mur,102.64,102.96,9,1469
13735,juste,juste,102.96,103.47,9,1469
13736,à,à,103.47,103.58,9,1469
13737,temps,temps,103.58,103.75,9,1469
13738,pour,pour,103.75,103.96,9,1469
13739,y,y,103.96,104.05,9,1469
13740,recevoir,recevoir,104.05,104.64,9,1469
13741,dans,dans,104.64,104.77,9,1469
13742,les,les,104.77,104.93,9,1469
13743,bras,bras,104.93,105.17,9,1469
13744,mon,mon,105.26,105.4,9,1469
13745,petit,petit,105.4,105.72,9,1469
13746,bonhomme,bonhomme,105.72,106.02,9,1469
13747,de,de,106.07,106.21,9,1469
13748,prince,prince,106.21,106.81,9,1469
13749,pâle,pâle,107.09,107.47,9,1470
13750,comme,comme,107.47,107.71,9,1470
13751,la,la,107.71,107.83,9,1470
13752,neige,neige,107.83,108.35,9,1470
13753,quelle,quelle,109.35,109.58,9,1471
13754,est,est,109.58,109.72,9,1471
13755,cette,cette,109.72,109.9,9,1471
13756,histoire,histoire,109.94,110.27,9,1471
13757,-là,là,110.27,110.44,9,1471
13758,tu,tu,110.89,111.05,9,1472
13759,parles,parles,111.05,111.3,9,1472
13760,maintenant,maintenant,111.3,111.71,9,1472
13761,avec,avec,111.71,111.92,9,1472
13762,les,les,111.92,112.01,9,1472
13763,serpents,serpents,112.01,112.6,9,1472
13764,j',j',113.843502,113.977814,9,1473
13765,avais,avais,113.977814,114.16,9,1473
13766,défait,défait,114.16,114.53,9,1473
13767,son,son,114.53,114.72,9,1473
13768,éternel,éternel,114.76,115.24,9,1473
13769,cache,cache,115.24,115.63,9,1473
13770,-nez,nez,115.63,115.78,9,1473
13771,d',d',115.78,115.86,9,1473
13772,or,or,115.86,116.29,9,1473
13773,je,je,116.91,117.0,9,1474
13774,lui,lui,117.0,117.23,9,1474
13775,avais,avais,117.23,117.41,9,1474
13776,mouillé,mouillé,117.41,117.72,9,1474
13777,les,les,117.72,117.91,9,1474
13778,tempes,tempes,117.91,118.29,9,1474
13779,et,et,118.46,118.54,9,1475
13780,l',l',118.54,118.59,9,1475
13781,avais,avais,118.59,118.78,9,1475
13782,fait,fait,118.78,118.95,9,1475
13783,boire,boire,118.95,119.44,9,1475
13784,et,et,120.15,120.25,9,1476
13785,maintenant,maintenant,120.25,120.81,9,1476
13786,je,je,120.96,121.11,9,1476
13787,n',n',121.11,121.18,9,1476
13788,osais,osais,121.18,121.51,9,1476
13789,plus,plus,121.51,121.73,9,1476
13790,rien,rien,121.73,122.14,9,1476
13791,lui,lui,122.14,122.27,9,1476
13792,demander,demander,122.27,122.79,9,1476
13793,il,il,123.57,123.76,9,1477
13794,me,me,123.76,123.86,9,1477
13795,regarda,regarda,123.86,124.42,9,1477
13796,gravement,gravement,124.42,125.12,9,1477
13797,et,et,125.38,125.45,9,1478
13798,m',m',125.45,125.53,9,1478
13799,entoura,entoura,125.53,125.97,9,1478
13800,le,le,125.97,126.09,9,1478
13801,cou,cou,126.09,126.33,9,1478
13802,de,de,126.33,126.46,9,1478
13803,ses,ses,126.46,126.67,9,1478
13804,bras,bras,126.67,126.92,9,1478
13805,je,je,127.76,127.92,9,1479
13806,sentais,sentais,127.92,128.41,9,1479
13807,battre,battre,128.46,128.77,9,1479
13808,son,son,128.77,129.06,9,1479
13809,coeur,coeur,129.06,129.33,9,1479
13810,comme,comme,129.33,129.61,9,1479
13811,celui,celui,129.61,129.94,9,1479
13812,d',d',129.94,129.99,9,1479
13813,un,un,129.99,130.14,9,1479
13814,oiseau,oiseau,130.14,130.46,9,1479
13815,qui,qui,130.46,130.65,9,1479
13816,meurt,meurt,130.65,131.0,9,1479
